source_url,source_name,specific_area,listing_type,bedrooms,land_area_m2,area_m2,price_idr,tenure_type,seller_type,agent_name,contact_phone,contact_whatsapp,rental_suitability,rental_suitability_score
https://www.lamudi.co.id/properti/41032-73-c4ab36b1cc8f-cffd-19d050c-afc3-71ae,lamudi_bali,Kerobokan,villa,2,,,2299000000,leasehold,agent,,+6281128908899,+6281128908899,short_term,
https://www.lamudi.co.id/properti/41032-73-72b127d69170-395-19d1807-8bc4-7554,lamudi_bali,Kerobokan,villa,2,,,2299000000,leasehold,developer,,+628179773356,+628179773356,short_term,
https://www.lamudi.co.id/jual/bali/badung/villa-tropis-minimalis-bale-village-dekat-plataran-175680425262/,lamudi_bali,Canggu,villa,2,110,125,2450000000,freehold,agent,,+6285738633342,+6285738633342,short_term,
https://www.lamudi.co.id/properti/41032-73-172be69ab0bf-2c13-cd0e62d2-b710-4798,lamudi_bali,Kerobokan,villa,2,,,2500000000,freehold,agent,,+6281998800666,+6281998800666,short_term,
https://www.lamudi.co.id/jual/bali/badung/villa-mewah-mediterania-full-furnished-di-keroboka-175647012258/,lamudi_bali,Kerobokan,villa,2,115,113,2950000000,freehold,agent,,+6282328821961,+6282328821961,short_term,
https://www.lamudi.co.id/properti/41032-73-5b63d623519d-eb8d-19c8e4a-a248-7283,lamudi_bali,Canggu,villa,2,200,100,4000000000,freehold,agent,,+6281337520521,+6281337520521,short_term,
https://www.lamudi.co.id/jual/bali/badung/dijual-villa-fully-furnished-kawasan-bumbak-kerobo-173778267657/,lamudi_bali,Kerobokan,villa,2,168,,4500000000,freehold,agent,,+6287861781799,+6287861781799,short_term,
https://www.lamudi.co.id/jual/bali/badung/dijual-villa-fully-furnished-kawasan-bumbak-kerobo-173778261998/,lamudi_bali,Kerobokan,villa,2,168,,4500000000,freehold,agent,,+6281228842656,+6281228842656,short_term,
https://www.lamudi.co.id/properti/41032-73-c871e49b97f8-bba5-19d8cd0-a3bf-73dc,lamudi_bali,Kerobokan,villa,2,130,140,4500000000,freehold,agent,,+6281337520521,+6281337520521,short_term,
https://www.lamudi.co.id/jual/bali/badung/villa-mewah-2-kamar-dengan-kolam-renang-pribadi-di-175640344855/,lamudi_bali,Kerobokan,villa,2,300,200,5000000000,freehold,agent,,+6282328821961,+6282328821961,short_term,
https://www.lamudi.co.id/properti/41032-73-5d438ca99be1-e7da-19b5996-a71d-7dd4,lamudi_bali,Kerobokan,villa,2,150,,5500000000,freehold,agent,,+6281236386100,+6281236386100,short_term,
https://www.lamudi.co.id/properti/41032-73-d8e3b8e15f7f-7ba6-19b8731-adf4-7933,lamudi_bali,Kerobokan,villa,2,150,140,5500000000,freehold,agent,,+6282144662560,+6281339666390,short_term,
https://www.lamudi.co.id/properti/41032-73-584c3611123d-e749-19b02a7-89ef-74e9,lamudi_bali,Kerobokan,villa,2,500,250,13000000000,freehold,agent,,+6281236386100,+6281236386100,short_term,
https://www.lamudi.co.id/jual/bali/badung/brand-new-villa-view-sawah-bumbak-kerobokan-badung-173329870872/,lamudi_bali,Kerobokan,villa,2,500,200,13500000000,freehold,agent,,+6281337520521,+6281337520521,short_term,
https://www.lamudi.co.id/properti/41032-73-ced80b690b4a-9643-19b6386-bbef-7541,lamudi_bali,Kerobokan,villa,2,80,150,,freehold,agent,,+6281805692000,+6281805692000,short_term,
https://www.lamudi.co.id/properti/41032-73-f271579d40d1-320c-19adde6-af2d-7637,lamudi_bali,Kerobokan,villa,2,,,,freehold,agent,,+6285930200102,+6285930200102,short_term,
https://www.lamudi.co.id/properti/41032-73-a009b4b68dc3-f980-19cb1e9-9bc5-72d2,lamudi_bali,Kerobokan,villa,2,,,,leasehold,agent,,+6281222540588,+6281222540588,short_term,
https://www.lamudi.co.id/properti/41032-73-21b9d080bcd4-2e66-19bd560-ab5a-7055,lamudi_bali,Kerobokan,villa,2,100,100,,freehold,agent,,+6281337520521,+6281337520521,short_term,
https://www.lamudi.co.id/properti/41032-73-f425657c3b4b-f83c-19c89de-ad67-77d6,lamudi_bali,Kerobokan,villa,2,100,120,,unknown,agent,,+6287861937731,+6287861937731,short_term,
https://www.lamudi.co.id/jual/bali/badung/dijual-villa-lokasi-kerobokan-174831116466/,lamudi_bali,Kerobokan,villa,2,190,110,,freehold,agent,,+6281330890874,+6281330890874,short_term,
https://www.lamudi.co.id/jual/bali/badung/villa-modern-2br-kerobokan-private-pool-one-gate-s-175758385656/,lamudi_bali,Kerobokan,villa,2,120,100,,freehold,agent,,+6288219534159,+6288219534159,short_term,
https://www.lamudi.co.id/jual/bali/badung/villa-nyaman-dengan-private-pool-taman-asri-di-ker-175715475358/,lamudi_bali,Kerobokan,villa,2,300,200,,freehold,agent,,+6288219534159,+6288219534159,short_term,
https://www.lamudi.co.id/jual/bali/badung/villa-strategis-minimalis-banjar-semer-kerobokan-b-174980309938/,lamudi_bali,Kerobokan,villa,2,,,,freehold,agent,,+6281558990607,+6281558990607,short_term,
https://www.lamudi.co.id/jual/bali/badung/minimalist-villa-for-sale-in-kerobokan-bali-175657239815/,lamudi_bali,Kerobokan,villa,2,115,63,,unknown,agent,,+6281805692000,+6281805692000,short_term,
https://www.lamudi.co.id/properti/41032-73-52c40f87d71b-ae4f-19d1815-8b68-705a,lamudi_bali,Kerobokan,villa,2,180,160,,freehold,agent,,+628179773356,+628179773356,short_term,
https://www.lamudi.co.id/properti/41032-73-92e5915a5607-1c91-19daec2-a23c-76f5,lamudi_bali,Kerobokan,villa,2,,,,leasehold,agent,,+6281339455009,+6281339455009,short_term,
https://www.lamudi.co.id/properti/41032-73-b11ef0624afb-bc7a-19c6f40-b312-7556,lamudi_bali,Kerobokan,villa,2,107,51,,freehold,agent,,+6287712525120,+6287712525120,short_term,
https://www.lamudi.co.id/properti/41032-73-325ee5aabbc7-75a7-19afe53-b3d4-7d21,lamudi_bali,Canggu,villa,2,100,80,,freehold,agent,,+6285282828775,+6285282828775,short_term,
https://www.lamudi.co.id/properti/41032-73-f2dfeba85908-8e5f-19afe3d-a48d-7de7,lamudi_bali,Kerobokan,villa,2,120,100,,freehold,agent,,+6285282828775,+6285282828775,short_term,
https://www.lamudi.co.id/properti/41032-73-3b6bb2ab825b-a60c-19cd6e6-96c1-747b,lamudi_bali,Kerobokan,villa,2,107,77,,freehold,agent,,+628123812567,+628123812567,short_term,
https://www.lamudi.co.id/properti/41032-73-8601fe40353b-b91b-19c61af-b969-7213,lamudi_bali,Kerobokan,villa,2,300,200,,unknown,agent,,+6281269710086,+6281269710086,short_term,
https://www.lamudi.co.id/properti/41032-73-341626e0b0c5-3989-19beb71-833e-7dfe,lamudi_bali,Kerobokan,villa,2,188,120,,freehold,agent,,+6282328821961,+6282328821961,short_term,
https://www.lamudi.co.id/jual/bali/badung/leasehold-2-bed-modern-villa-in-kerobokan-170644942013/,lamudi_bali,Kerobokan,villa,2,100,115,,leasehold,agent,,+6287712525120,+6287712525120,short_term,
https://www.lamudi.co.id/jual/bali/badung/villa-tropis-di-semer-kerobokan-174954482433/,lamudi_bali,Kerobokan,villa,2,102,124,,freehold,agent,,+6285738633342,+6285738633342,short_term,
https://www.lamudi.co.id/properti/41032-73-54bb25ce634b-4bfd-762a144d-beb6-4c7f,lamudi_bali,Canggu,villa,2,,,,freehold,agent,,+6281998800666,+6281998800666,short_term,
https://www.lamudi.co.id/properti/41032-73-2e30dc4f0797-9672-19b5d42-8d28-76b1,lamudi_bali,Kerobokan,villa,2,150,140,,leasehold,agent,,+6282313501124,+6282313501124,short_term,
https://www.lamudi.co.id/properti/41032-73-1c7aeeef9489-f912-19c53fc-9fee-7cce,lamudi_bali,Kerobokan,villa,2,188,120,,freehold,agent,,+6281236386100,+6281236386100,short_term,
https://www.lamudi.co.id/properti/41032-73-374542abffa3-c9ad-19cbc61-b245-74e2,lamudi_bali,Kerobokan,villa,2,188,150,,freehold,agent,,+6285100448999,+6285100448999,short_term,
https://www.rumah123.com/properti/badung-kerobokan/furnished-2-bedroom-leasehold-villa-in-kerobokan-bellow-2-bill-vls232555/?priceCurrency=IDR,rumah123_bali,Kerobokan,villa,2,100,77,1850000000,leasehold,agent,,+6221304961230,,short_term,90
https://www.rumah123.com/properti/badung-kerobokan/brand-new-villa-in-kerobokan-leasehold-vls143236/?priceCurrency=IDR,rumah123_bali,Kerobokan,villa,2,100,90,2290000000,leasehold,agent,,+62213049612,,short_term,90
https://www.rumah123.com/properti/badung-seminyak/brand-new-villa-modern-in-cluster-one-gate-system-seminyak-bali-hos40011246/?priceCurrency=IDR,rumah123_bali,Seminyak,villa,2,122,93,2400000000,leasehold,agent,Anya Bali Real Estate,,,short_term,90
https://www.rumah123.com/properti/badung-pererenan/sommer-villa-hos40896461/?priceCurrency=IDR,rumah123_bali,Pererenan,villa,2,165,112,4400000000,leasehold,agent,Balimmo Properties,+62213049612,,short_term,90
